Sentence,Entity,Label
"മൈക്രോസോഫ്റ്റ് റെഡ്മോണ്‍ഡ്, വാഷിംഗ്ടണ്‍ സ്ഥിതിചെയ്യുന്നു.",വാഷിംഗ്ടണ്‍ സ്ഥിതിചെയ്യുന്നു.,LOC
സത്യ നാദെല മൈക്രോസോഫ്റ്റിന്റെ സിഇഓയാണ്.,സത്യ,ORG
ഗൂഗിള്‍ ലാരി പേജും സെര്‍ഗെ ബ്രിനും സ്ഥാപിച്ചു.,സ്ഥാപിച്ചു.,MISC
"ഗൂഗിളിന്റെ ഹെഡ്ക്വാര്‍ട്ടറുകള്‍ മൌണ്ടിന്‍ വ്യൂ, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",ഗൂഗിളിന്റെ ഹെഡ്ക്വാര്‍ട്ടറുകള്‍ മൌണ്ടിന്‍ വ്യൂ,LOC
"ഗൂഗിളിന്റെ ഹെഡ്ക്വാര്‍ട്ടറുകള്‍ മൌണ്ടിന്‍ വ്യൂ, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.,LOC
"ആപ്പിള്‍ സ്റ്റീവ് ജോബ്‌സ്, സ്റ്റീവ് വൊസ്ണിയക്ക്, റൊണാള്‍ഡ് വെയ്നും സ്ഥാപിച്ചു.",വൊസ്ണിയക്ക്,LOC
"ആപ്പിള്‍ സ്റ്റീവ് ജോബ്‌സ്, സ്റ്റീവ് വൊസ്ണിയക്ക്, റൊണാള്‍ഡ് വെയ്നും സ്ഥാപിച്ചു.",സ്ഥാപിച്ചു.,LOC
എസ്പേസ് എക്‌സ്‌പൈന്‍ എലണ്‍ മസ്ക് സ്ഥാപിച്ചു.,സ്ഥാപിച്ചു.,MISC
"എസ്‌പേസിന്റെ ഹെഡ്ക്വാര്‍ട്ടര്‍ ഹോത്തോണില്‍, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.,LOC
മാര്‍ക് സുകര്‍ബര്‍ഗ് ഫേസ്ബുക്കിന്റെ സിഇഓയാണ്.,സുകര്‍ബര്‍ഗ് ഫേസ്ബുക്കിന്റെ സിഇഓയാണ്.,MISC
"ഫേസ്ബുക്ക് മെന്ലോ പാര്‍ക്ക്, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.,ORG
ജെഫ് ബെസോസ് അമസോണിന്റെ സ്ഥാപകനാണ്.,ജെഫ്,MISC
ജെഫ് ബെസോസ് അമസോണിന്റെ സ്ഥാപകനാണ്.,സ്ഥാപകനാണ്.,MISC
"അമസോണ്‍ സീറ്റില്‍, വാഷിംഗ്ടണ്‍ സ്ഥിതിചെയ്യുന്നു.",വാഷിംഗ്ടണ്‍ സ്ഥിതിചെയ്യുന്നു.,LOC
വാര്‍ണ്‍ ബഫെട്ട് ബേര്‍ക്ഷയില്‍ സ്ഥാപിച്ചത്.,വാര്‍ണ്‍,MISC
ബേര്‍ക്ക്ഷ ഹാത്തവേ ഓമഹയില്‍ സ്ഥിതിചെയ്യുന്നു.,ബേര്‍ക്ക്ഷ ഹാത്തവേ ഓമഹയില്‍ സ്ഥിതിചെയ്യുന്നു.,MISC
ലാരി എലിസണ്‍ ഓരക്കല്‍ കോര്‍പ്പറേഷനിന്റെ സ്ഥാപകനാണ്.,സ്ഥാപകനാണ്.,MISC
"ഓരക്കല്‍ കോര്‍പ്പറേഷന്‍ റെഡ്‌വുഡ് സിറ്റി, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",റെഡ്‌വുഡ് സിറ്റി,MISC
"ഓരക്കല്‍ കോര്‍പ്പറേഷന്‍ റെഡ്‌വുഡ് സിറ്റി, കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.",കാലിഫോര്‍ണിയയില്‍ സ്ഥിതിചെയ്യുന്നു.,ORG
